Name of Person or Organization;Date of Gift;Value of Gift
STANFORD UNIVERSITY                                    ;8/22/2008;$7,500
STANFORD UNIVERSITY                                    ;8/22/2008;$7,500
STANFORD UNIVERSITY                                    ;09.05.2008;$250
START II OF BERGEN COUNTY;05.01.2008;$1,000
STATE UNIVERSITY OF NEW YORK - STONY;5/14/2008;$2,000
STATEN ISLAND ACADEMY;05.07.2008;$100
STATEN ISLAND ACADEMY;06.10.2008;$200
STEBICH RIDDER INTERNATIONAL;9/27/2007;$1,681
STEBICH RIDDER INTERNATIONAL;9/28/2007;$127
STEBICH RIDDER INTERNATIONAL;9/28/2007;$127
STEBICH RIDDER INTERNATIONAL;9/28/2007;$127
STEBICH RIDDER INTERNATIONAL;9/28/2007;$127
STEBICH RIDDER INTERNATIONAL;9/28/2007;$127
STEBICH RIDDER INTERNATIONAL;9/28/2007;$190
STEBICH RIDDER INTERNATIONAL;9/28/2007;$190
STEBICH RIDDER INTERNATIONAL;9/28/2007;$680
STEBICH RIDDER INTERNATIONAL;10.03.2007;$253
STEBICH RIDDER INTERNATIONAL;10.04.2007;$50
STEBICH RIDDER INTERNATIONAL;10.04.2007;$50
STEBICH RIDDER INTERNATIONAL;10.04.2007;$50
STEBICH RIDDER INTERNATIONAL;10.04.2007;$2,006
STEBICH RIDDER INTERNATIONAL;10.04.2007;$2,093
STEBICH RIDDER INTERNATIONAL;10.04.2007;$2,093
STEBICH RIDDER INTERNATIONAL;10.05.2007;$190
STEBICH RIDDER INTERNATIONAL;10.05.2007;$316
STEBICH RIDDER INTERNATIONAL;10.05.2007;$1,392
STEBICH RIDDER INTERNATIONAL;10.09.2007;$1,406
STEBICH RIDDER INTERNATIONAL;10.10.2007;$150
STEBICH RIDDER INTERNATIONAL;10.10.2007;$200
STEBICH RIDDER INTERNATIONAL;10/26/2007;$555
STEBICH RIDDER INTERNATIONAL;11.06.2007;$50
STEBICH RIDDER INTERNATIONAL;11.06.2007;$50
STEBICH RIDDER INTERNATIONAL;11.06.2007;$340
STEBICH RIDDER INTERNATIONAL;11.06.2007;$355
STEBICH RIDDER INTERNATIONAL;11/26/2007;$127
STEBICH RIDDER INTERNATIONAL;11/26/2007;$127
STEBICH RIDDER INTERNATIONAL;11/26/2007;$253
STEBICH RIDDER INTERNATIONAL;11/26/2007;$336
STEBICH RIDDER INTERNATIONAL;11/26/2007;$443
STEBICH RIDDER INTERNATIONAL;11/26/2007;$1,283
STEBICH RIDDER INTERNATIONAL;11/26/2007;$2,093
STEBICH RIDDER INTERNATIONAL;11/27/2007;$75
STEBICH RIDDER INTERNATIONAL;11/27/2007;$127
STEBICH RIDDER INTERNATIONAL;11/27/2007;$127
STEBICH RIDDER INTERNATIONAL;11/27/2007;$127
STEBICH RIDDER INTERNATIONAL;11/27/2007;$336
STEBICH RIDDER INTERNATIONAL;11/27/2007;$594
STEBICH RIDDER INTERNATIONAL;12.04.2007;$226
STEBICH RIDDER INTERNATIONAL;12.04.2007;$5,120
STEBICH RIDDER INTERNATIONAL;12/13/2007;$50
STEBICH RIDDER INTERNATIONAL;12/13/2007;$50
STEBICH RIDDER INTERNATIONAL;12/13/2007;$383
STEBICH RIDDER INTERNATIONAL;12/21/2007;$2,093
STEBICH RIDDER INTERNATIONAL;1/16/2008;$198
STEBICH RIDDER INTERNATIONAL;1/16/2008;$2,093
STEBICH RIDDER INTERNATIONAL;1/24/2008;$50
STEBICH RIDDER INTERNATIONAL;1/24/2008;$100
STEBICH RIDDER INTERNATIONAL;1/24/2008;$200
STEBICH RIDDER INTERNATIONAL;1/24/2008;$588
STEBICH RIDDER INTERNATIONAL;1/29/2008;$50
STEBICH RIDDER INTERNATIONAL;1/29/2008;$50
STEBICH RIDDER INTERNATIONAL;1/29/2008;$50
STEBICH RIDDER INTERNATIONAL;1/29/2008;$172
STEBICH RIDDER INTERNATIONAL;1/31/2008;$50
STEBICH RIDDER INTERNATIONAL;1/31/2008;$50
STEBICH RIDDER INTERNATIONAL;1/31/2008;$100
STEBICH RIDDER INTERNATIONAL;1/31/2008;$100
STEBICH RIDDER INTERNATIONAL;1/31/2008;$175
STEBICH RIDDER INTERNATIONAL;1/31/2008;$264
STEBICH RIDDER INTERNATIONAL;1/31/2008;$264
STEBICH RIDDER INTERNATIONAL;1/31/2008;$1,692
STEBICH RIDDER INTERNATIONAL;1/31/2008;$1,709
STEBICH RIDDER INTERNATIONAL;02.04.2008;$528
STEBICH RIDDER INTERNATIONAL;2/19/2008;$50
STEBICH RIDDER INTERNATIONAL;2/19/2008;$50
STEBICH RIDDER INTERNATIONAL;2/19/2008;$113
STEBICH RIDDER INTERNATIONAL;2/19/2008;$150
STEBICH RIDDER INTERNATIONAL;2/19/2008;$150
STEBICH RIDDER INTERNATIONAL;2/19/2008;$275
STEBICH RIDDER INTERNATIONAL;2/19/2008;$325
STEBICH RIDDER INTERNATIONAL;2/19/2008;$375
STEBICH RIDDER INTERNATIONAL;2/19/2008;$425
STEBICH RIDDER INTERNATIONAL;2/20/2008;$475
STEBICH RIDDER INTERNATIONAL;3/17/2008;$2,093
STEBICH RIDDER INTERNATIONAL;3/18/2008;$50
STEBICH RIDDER INTERNATIONAL;3/18/2008;$50
STEBICH RIDDER INTERNATIONAL;3/18/2008;$125
STEBICH RIDDER INTERNATIONAL;3/18/2008;$175
STEBICH RIDDER INTERNATIONAL;3/18/2008;$187
STEBICH RIDDER INTERNATIONAL;3/18/2008;$200
STEBICH RIDDER INTERNATIONAL;3/18/2008;$264
STEBICH RIDDER INTERNATIONAL;3/18/2008;$338
STEBICH RIDDER INTERNATIONAL;3/18/2008;$450
STEBICH RIDDER INTERNATIONAL;3/18/2008;$792
STEBICH RIDDER INTERNATIONAL;3/18/2008;$1,075
STEBICH RIDDER INTERNATIONAL;3/18/2008;$1,122
STEBICH RIDDER INTERNATIONAL;3/18/2008;$2,093
STEBICH RIDDER INTERNATIONAL;3/18/2008;$2,324
STEBICH RIDDER INTERNATIONAL;3/20/2008;$50
STEBICH RIDDER INTERNATIONAL;3/20/2008;$100
STEBICH RIDDER INTERNATIONAL;3/20/2008;$132
STEBICH RIDDER INTERNATIONAL;3/20/2008;$132
STEBICH RIDDER INTERNATIONAL;3/20/2008;$245
STEBICH RIDDER INTERNATIONAL;3/20/2008;$642
STEBICH RIDDER INTERNATIONAL;3/20/2008;$737
STEBICH RIDDER INTERNATIONAL;3/26/2008;$125
STEBICH RIDDER INTERNATIONAL;3/26/2008;$445
STEBICH RIDDER INTERNATIONAL;3/26/2008;$488
STEBICH RIDDER INTERNATIONAL;3/26/2008;$588
STEBICH RIDDER INTERNATIONAL;3/31/2008;$50
STEBICH RIDDER INTERNATIONAL;3/31/2008;$50
STEBICH RIDDER INTERNATIONAL;3/31/2008;$150
STEBICH RIDDER INTERNATIONAL;3/31/2008;$198
STEBICH RIDDER INTERNATIONAL;04.08.2008;$50
STEBICH RIDDER INTERNATIONAL;04.08.2008;$50
STEBICH RIDDER INTERNATIONAL;04.08.2008;$50
STEBICH RIDDER INTERNATIONAL;04.08.2008;$50
STEBICH RIDDER INTERNATIONAL;04.08.2008;$100
STEBICH RIDDER INTERNATIONAL;04.08.2008;$238
STEBICH RIDDER INTERNATIONAL;04.08.2008;$264
STEBICH RIDDER INTERNATIONAL;04.08.2008;$375
STEBICH RIDDER INTERNATIONAL;04.08.2008;$2,009
STEBICH RIDDER INTERNATIONAL;04.11.2008;$50
STEBICH RIDDER INTERNATIONAL;04.11.2008;$190
STEBICH RIDDER INTERNATIONAL;04.11.2008;$190
STEBICH RIDDER INTERNATIONAL;04.11.2008;$250
STEBICH RIDDER INTERNATIONAL;04.11.2008;$396
STEBICH RIDDER INTERNATIONAL;04.11.2008;$696
STEBICH RIDDER INTERNATIONAL;04.11.2008;$990
STEBICH RIDDER INTERNATIONAL;4/22/2008;$50
STEBICH RIDDER INTERNATIONAL;4/22/2008;$50
STEBICH RIDDER INTERNATIONAL;4/22/2008;$150
STEBICH RIDDER INTERNATIONAL;4/22/2008;$264
STEBICH RIDDER INTERNATIONAL;4/22/2008;$288
STEBICH RIDDER INTERNATIONAL;4/22/2008;$2,093
STEBICH RIDDER INTERNATIONAL;4/25/2008;$50
STEBICH RIDDER INTERNATIONAL;4/25/2008;$100
STEBICH RIDDER INTERNATIONAL;4/25/2008;$127
STEBICH RIDDER INTERNATIONAL;4/25/2008;$163
STEBICH RIDDER INTERNATIONAL;4/25/2008;$264
STEBICH RIDDER INTERNATIONAL;4/25/2008;$325
STEBICH RIDDER INTERNATIONAL;4/25/2008;$396
STEBICH RIDDER INTERNATIONAL;4/29/2008;$100
STEBICH RIDDER INTERNATIONAL;5/29/2008;$50
STEBICH RIDDER INTERNATIONAL;5/29/2008;$50
STEBICH RIDDER INTERNATIONAL;5/29/2008;$150
STEBICH RIDDER INTERNATIONAL;5/29/2008;$200
STEBICH RIDDER INTERNATIONAL;5/29/2008;$200
STEBICH RIDDER INTERNATIONAL;5/29/2008;$200
STEBICH RIDDER INTERNATIONAL;5/29/2008;$238
STEBICH RIDDER INTERNATIONAL;5/29/2008;$264
STEBICH RIDDER INTERNATIONAL;5/29/2008;$320
STEBICH RIDDER INTERNATIONAL;5/29/2008;$363
STEBICH RIDDER INTERNATIONAL;5/29/2008;$462
STEBICH RIDDER INTERNATIONAL;5/29/2008;$659
STEBICH RIDDER INTERNATIONAL;5/29/2008;$2,093
STEBICH RIDDER INTERNATIONAL;5/29/2008;$2,668
STEBICH RIDDER INTERNATIONAL;5/29/2008;$5,182
STEBICH RIDDER INTERNATIONAL;5/30/2008;$50
STEBICH RIDDER INTERNATIONAL;5/30/2008;$264
STEBICH RIDDER INTERNATIONAL;5/30/2008;$700
STEBICH RIDDER INTERNATIONAL;6/25/2008;$238
STEBICH RIDDER INTERNATIONAL;6/25/2008;$264
STEBICH RIDDER INTERNATIONAL;6/25/2008;$264
STEBICH RIDDER INTERNATIONAL;6/25/2008;$994
STEBICH RIDDER INTERNATIONAL;6/25/2008;$2,093
STEBICH RIDDER INTERNATIONAL;07.07.2008;$150
STEBICH RIDDER INTERNATIONAL;07.07.2008;$150
STEBICH RIDDER INTERNATIONAL;07.07.2008;$750
STEBICH RIDDER INTERNATIONAL;7/16/2008;$50
STEBICH RIDDER INTERNATIONAL;7/16/2008;$200
STEBICH RIDDER INTERNATIONAL;7/16/2008;$225
STEBICH RIDDER INTERNATIONAL;7/16/2008;$720
STEBICH RIDDER INTERNATIONAL;7/25/2008;$150
STEBICH RIDDER INTERNATIONAL;7/25/2008;$1,192
STEBICH RIDDER INTERNATIONAL;7/30/2008;$2,093
STEBICH RIDDER INTERNATIONAL;8/13/2008;$50
STEBICH RIDDER INTERNATIONAL;8/13/2008;$150
STEBICH RIDDER INTERNATIONAL;8/13/2008;$150
STEBICH RIDDER INTERNATIONAL;8/26/2008;$2,093
STEBICH RIDDER INTERNATIONAL;8/26/2008;$3,019
STEBICH RIDDER INTERNATIONAL;09.03.2008;$50
STEBICH RIDDER INTERNATIONAL;09.03.2008;$100
STEBICH RIDDER INTERNATIONAL;09.03.2008;$726
STEP UP WOMENS NETWORK;5/20/2008;$904
STITCHES FOR BRITCHES;02.04.2008;$2,000
STONY BROOK FOUNDATION;06.02.2008;$1,250
STONY BROOK SCHOOL;12/19/2007;$200
STRAY FROM THE HEART;3/17/2008;$100
STREETWISE PARTNERS INC;05.07.2008;$200
STREETWISE PARTNERS INC;06.05.2008;$30,000
STUDENT CLUBS OF HBS;11.07.2007;$250
STUDENT SPONSOR PARTNERS;10/24/2007;$2,250
STUDENT SPONSOR PARTNERS;12/19/2007;$500
STUDENT SPONSOR PARTNERS;02.04.2008;$1,750
STUDENT SPONSOR PARTNERS;05.01.2008;$2,000
STUDENT SPONSOR PARTNERS;05.07.2008;$2,000
STUDENT SPONSOR PARTNERS;06.10.2008;$250
STUDENT SPONSOR PARTNERS;07.02.2008;$400
STUDENT SPONSOR PARTNERS;09.05.2008;$725
STUDENTS FOR INTERNATIONAL CHANGE;10.12.2007;$500
SUCHU INC.;10.05.2007;$200
SUCHU INC.;10/24/2007;$500
SUFFIELD ACADEMY;10.03.2007;$2,000
SUFFIELD ACADEMY;10.05.2007;$500
SUFFIELD ACADEMY;09.05.2008;$250
SUGAR BOWL SKI TEAM;03.03.2008;$1,900
SUN ANGEL FOUNDATION;11/15/2007;$1,950
SUSAN G KOMEN CANCER FDN;9/21/2007;$50
SUSAN G KOMEN CANCER FDN;3/17/2008;$50
SUSAN G KOMEN CANCER FDN;05.07.2008;$200
SUSAN G KOMEN CANCER FDN;06.10.2008;$200
SUSAN G KOMEN RACE FOR THE CURE;03.03.2008;$50
SUSAN G KOMEN RACE FOR THE CURE;05.01.2008;$50
SUSAN G KOMEN RACE FOR THE CURE;5/14/2008;$75
SUSAN G. KOMEN BREAST CANCER FOUNDATION;10/24/2007;$50
SUSAN G. KOMEN BREAST CANCER FOUNDATION;10/24/2007;$250
SUSAN G. KOMEN BREAST CANCER FOUNDATION;11/15/2007;$100
SUSAN G. KOMEN BREAST CANCER FOUNDATION;11/15/2007;$1,100
SUSAN G. KOMEN BREAST CANCER FOUNDATION;12/19/2007;$50
SUSAN G. KOMEN BREAST CANCER FOUNDATION;12/19/2007;$100
SUSAN G. KOMEN BREAST CANCER FOUNDATION;05.01.2008;$100
SUSAN G. KOMEN BREAST CANCER FOUNDATION;5/14/2008;$550
SUSAN G. KOMEN BREAST CANCER FOUNDATION;7/23/2008;$50
SUSAN G. KOMEN BREAST CANCER FOUNDATION;7/23/2008;$60
SUSAN G. KOMEN BREAST CANCER FOUNDATION;09.05.2008;$155
SUSAN G. KOMEN RACE FOR THE CURE;10/16/2007;$50
SUSANGKOME;02.04.2008;$50
SWARTHMORE COLLEGE;6/24/2008;$500
SWARTHMORE COLLEGE;08.06.2008;$100
SWIM ACROSS AMERICA INC;11/15/2007;$750
SWIM ACROSS AMERICA INC;5/14/2008;$100
SWIMM OWA;07.02.2008;$500
SYDA FOUNDATION;11/15/2007;$50
SYDA FOUNDATION;02.04.2008;$50
SYDA FOUNDATION;7/23/2008;$150
SYRACUSE MEDICAL ALUMNI FOUNDATION;3/17/2008;$1,200
SYRACUSE UNIVERSITY;05.01.2008;$100
TADA THEATRE & DANCE ALLIANCE INC;5/20/2008;$2,200
TADA THEATRE & DANCE ALLIANCE INC;06.10.2008;$50
TAFT SCHOOL;10.05.2007;$250
TAFT SCHOOL;05.01.2008;$150
TAFT SCHOOL;06.10.2008;$400
TAFT SCHOOL;7/23/2008;$250
TAFT SCHOOL;09.05.2008;$150
TALMUPIC RESEARCH CENTER;12/19/2007;$750
TALMUPIC RESEARCH CENTER;7/16/2008;$400
TALMUPIC RESEARCH CENTER;7/23/2008;$500
TAMARACK TOWER FOUNDATION OF THE PORT;1/22/2008;$250
TANDEM PRESS;02.05.2008;$100
TANDEM PRESS;7/16/2008;$75
TAU OMEGA CHARITABLE TRUST FUND;11/15/2007;$150
TEACH FOR AMERICA;5/14/2008;$2,000
TEAK FELLOWSHIP INC;02.04.2008;$100
TEAK FELLOWSHIP INC;7/23/2008;$7,150
TEAM CONTINUUM;10.05.2007;$100
TEAM CONTINUUM;11/15/2007;$100
TEAM CONTINUUM;12/19/2007;$250
TEAM CONTINUUM;02.04.2008;$100
TEAM CONTINUUM;05.01.2008;$50
TECHNOSERVE INC;3/17/2008;$1,950
TERRA INCOGNITA INC;12.04.2007;$2,000
TERRY DOWD INC;08.06.2008;$1,315
TEXAS A&M UNIVERSITY 12TH MAN FOUNDATION;7/23/2008;$500
TEXAS CHILDRENS HOSPITAL;7/23/2008;$100
TEXAS TECH FOUNDATION INC;10.05.2007;$2,000
THAYER ACADEMY;5/14/2008;$125
THIRTEEN\WNET;02.04.2008;$250
THIRTEEN\WNET;05.07.2008;$150
THIRTEENTH NIGHT THEATRE COMPANY;01.10.2008;$1,925
THIRTEENTH NIGHT THEATRE COMPANY;09.05.2008;$1,925
THOMAS G LABRECQUE FOUNDATION;10.08.2007;$2,000
THOMAS G LABRECQUE FOUNDATION;10.12.2007;$100
THOMAS G LABRECQUE FOUNDATION;10/24/2007;$180
THOMAS G LABRECQUE FOUNDATION;12/19/2007;$50
THUNDERBIRD;05.01.2008;$200
THURGOOD MARSHALL SCHOLARSHIP FUND;10/30/2007;$10,000
TIBURON PENINSULA LITTLE LEAGUE;03.03.2008;$500
TIDEWELL HOSPICE AND PALLIATIVE CARE;4/29/2008;$100
TOLMAN COLLECTION TOKYO;6/20/2008;$679
TOMCHEI SHABBOS/ YAD YESHAYAH INC;02.04.2008;$500
TOMCHEI SHABBOS/ YAD YESHAYAH INC;5/14/2008;$1,500
TOMORROW FUND;05.07.2008;$100
TOMORROWS CHILDREN'S FUND;10/24/2007;$150
TOUCH OF ROCKLAND COUNTY;10.05.2007;$100
TOURETTE SYNDROME ASSOCIATION;10.05.2007;$300
TOURETTE SYNDROME ASSOCIATION;10/24/2007;$50
TOURETTE SYNDROME ASSOCIATION;11/15/2007;$125
TOURETTE SYNDROME ASSOCIATION;12/19/2007;$250
TOURETTE SYNDROME ASSOCIATION;05.01.2008;$50
TOWER SCHOOL IN MARBLEHEAD INC;9/21/2007;$1,500
TOWER SCHOOL IN MARBLEHEAD INC;06.10.2008;$1,500
TOWERHILLS;12/19/2007;$100
TOWN OF NORTH ELBA PARK;02.04.2008;$2,000
TOWN SCHOOL;10.05.2007;$2,000
TOWN SCHOOL;02.04.2008;$2,000
TOWN SCHOOL;05.01.2008;$3,000
TOWN SCHOOL;05.07.2008;$250
TOWN SCHOOL;09.05.2008;$1,300
TOWN SCHOOL FOR BOYS;5/14/2008;$2,000
TOWN SCHOOL FOR BOYS;7/23/2008;$2,000
TOWNSCHOOL;5/14/2008;$125
TOWNSCHOOL;06.10.2008;$125
TOWNSEND HARRIS HIGH SCHOOL;12/19/2007;$100
TREES WATER AND PEOPLE;12.04.2007;$250
TRENTON AREA SOUP KITCHEN;9/24/2007;$2,100
TRENTON AREA SOUP KITCHEN;02.04.2008;$250
TRENTON AREA SOUP KITCHEN;09.05.2008;$50
TREVOR DAY SCHOOL;10/24/2007;$250
TREVOR DAY SCHOOL;06.10.2008;$2,000
TREVOR DAY SCHOOL;7/16/2008;$500
TRICKLE UP PROGRAM;10.05.2007;$50
TRICKLE UP PROGRAM;09.05.2008;$250
TRIMAXION FINE ARTS LLC;9/28/2007;$1,432
TRINITY COLLEGE;11/15/2007;$100
TRINITY COLLEGE;05.01.2008;$400
TRINITY COLLEGE;7/16/2008;$60
TRINITY COLLEGE;7/23/2008;$1,800
TRINITY COMMUNITY MINISTRIES INC;10.05.2007;$1,000
TRINITY COMMUNITY MINISTRIES INC;5/14/2008;$1,000
TRINITY SCHOOL;10.05.2007;$625
TRINITY SCHOOL;09.05.2008;$2,000
TRUSTEES OF BOSTON UNIVERSITY;05.07.2008;$1,050
TRUSTEES OF BOSTON UNIVERSITY;06.10.2008;$50
TRUSTEES OF BOSTON UNIVERSITY;7/16/2008;$200
TRUSTEES OF COLUMBIA UNIVERSITY OF;01.11.2008;$1,250
TRUSTEES OF COLUMBIA UNIVERSITY OF;05.01.2008;$150
TRUSTEES OF COLUMBIA UNIVERSITY OF;06.10.2008;$250
TRUSTEES OF DARTMOUTH COLLEGE;02.04.2008;$1,000
TRUSTEES OF DARTMOUTH COLLEGE;05.01.2008;$100
TRUSTEES OF DARTMOUTH COLLEGE;05.07.2008;$1,825
TRUSTEES OF DARTMOUTH COLLEGE;5/14/2008;$750
TRUSTEES OF DARTMOUTH COLLEGE;06.10.2008;$3,650
TRUSTEES OF DARTMOUTH COLLEGE;7/16/2008;$2,250
TRUSTEES OF DAVIDSON COLLEGE;5/14/2008;$150
TRUSTEES OF LAWRENCEVILLE SCHOOL;05.07.2008;$450
TRUSTEES OF LAWRENCEVILLE SCHOOL;5/14/2008;$1,000
TRUSTEES OF PHILLIPS ACADEMY;05.01.2008;$2,200
TRUSTEES OF PHILLIPS ACADEMY;05.07.2008;$1,000
TRUSTEES OF PHILLIPS ACADEMY;7/16/2008;$1,050
TRUSTEES OF THE LAWRENCEVILLE SCHOOL;05.01.2008;$500
TRUSTEES OF THE LAWRENCEVILLE SCHOOL;09.05.2008;$85
TRUSTEES OF THE UNIVERSITY OF;02.04.2008;$400
TRUSTEES OF THE UNIVERSITY OF;05.01.2008;$200
TRUSTEES OF THE UNIVERSITY OF;05.01.2008;$3,750
TRUSTEES OF THE UNIVERSITY OF;05.07.2008;$2,450
TRUSTEES OF THE UNIVERSITY OF;5/14/2008;$250
TRUSTEES OF THE UNIVERSITY OF;06.10.2008;$1,800
TRUSTEES OF THE UNIVERSITY OF;7/16/2008;$550
TRUSTEES OF THE UNIVERSITY OF;09.05.2008;$200
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$150
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$250
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$375
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$825
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$1,050
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$2,050
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$4,100
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$5,000
TRUSTEES OF THE UNIVERSITY OF                          ;10.05.2007;$8,200
TRUSTEES OF THE UNIVERSITY OF                          ;10/24/2007;$250
TRUSTEES OF THE UNIVERSITY OF                          ;10/24/2007;$500
TRUSTEES OF THE UNIVERSITY OF                          ;10/24/2007;$2,000
TRUSTEES OF THE UNIVERSITY OF                          ;11/15/2007;$500
TRUSTEES OF THE UNIVERSITY OF                          ;11/30/2007;$200
TRUSTEES OF THE UNIVERSITY OF                          ;11/30/2007;$400
TRUSTEES OF THE UNIVERSITY OF                          ;12.10.2007;$1,003
TRUSTEES OF THE UNIVERSITY OF                          ;12.10.2007;$2,000
TRUSTEES OF THE UNIVERSITY OF                          ;12.12.2007;$200
TRUSTEES OF THE UNIVERSITY OF                          ;12.12.2007;$400
TRUSTEES OF THE UNIVERSITY OF                          ;12/19/2007;$50
TRUSTEES OF THE UNIVERSITY OF                          ;12/19/2007;$50
TRUSTEES OF THE UNIVERSITY OF                          ;12/19/2007;$1,000
TRUSTEES OF THE UNIVERSITY OF                          ;12/19/2007;$2,400
TRUSTEES OF TUFTS COLLEGE;05.01.2008;$1,000
TRUSTEES OF TUFTS COLLEGE;05.07.2008;$250
TRUSTEES OF TUFTS COLLEGE;06.10.2008;$2,000
TRUSTEES OF TUFTS COLLEGE;7/23/2008;$65
TRUSTEES OF TUFTS COLLEGE;09.05.2008;$2,000
TRUSTEES UNIVERSITY OF PENNSYLVANIA;04.02.2008;$240
TRUSTEES UNIVERSITY OF PENNSYLVANIA;04.02.2008;$480
TRUSTEES UNIVERSITY OF PENNSYLVANIA;04.02.2008;$1,065
TRUSTEES UNIVERSITY OF PENNSYLVANIA;04.02.2008;$2,130
TRUSTEES UNIVERSITY OF PENNSYLVANIA;4/16/2008;$15,000
TRUSTEES UNIVERSITY OF PENNSYLVANIA;8/13/2008;$15,000
TRUSTEES UNIVERSITY OF PENNSYLVANIA;8/22/2008;$7,500
TRUSTEES UNIVERSITY OF PENNSYLVANIA;09.08.2008;$300
TRUSTEES UNIVERSITY OF PENNSYLVANIA;09.08.2008;$600
TUCK SCHOOL OF BUSINESS;10/29/2007;$10,000
TUCK SCHOOL OF BUSINESS;1/22/2008;$15,000
U C SAN DIEGO FOUNDATION;07.02.2008;$250
UC BERKELEY FOUNDATION;10/24/2007;$100
UC BERKELEY FOUNDATION;05.07.2008;$2,000
UCLA FOUNDATION;10/29/2007;$25,000
UJA FEDERATION OF NORTHERN NEW;05.07.2008;$1,250
UJA OF METRO WEST N.J.;05.07.2008;$1,750
UJA OF METRO WEST N.J.;06.10.2008;$72
UJA-FEDERATION;10.05.2007;$7,100
UJA-FEDERATION;10/24/2007;$4,025
UJA-FEDERATION;11/15/2007;$500
UJA-FEDERATION;02.04.2008;$4,000
UJA-FEDERATION;05.01.2008;$1,000
UJA-FEDERATION;05.07.2008;$650
UJA-FEDERATION;5/14/2008;$500
UJA-FEDERATION;06.10.2008;$4,108
UJA-FEDERATION;7/16/2008;$120
UJA-FEDERATION;7/23/2008;$50
UJA-FEDERATION;09.05.2008;$2,000
UNCOMMONSC;10.05.2007;$1,000
UNICEF;12/19/2007;$50
UNICEF;01.10.2008;$100
UNICEF;07.02.2008;$50
UNICEF;09.05.2008;$660
UNITED CEREBRAL PALSY;10.05.2007;$50
UNITED CEREBRAL PALSY;10.05.2007;$2,000
UNITED HOSPICE OF ROCKLAND;12.04.2007;$50
UNITED HOSPICE OF ROCKLAND;02.04.2008;$50
UNITED JEWISH APPEAL NY;05.07.2008;$2,000
UNITED JEWISH COMMUNITIES;05.07.2008;$500
UNITED NATIONS FOUNDATION;5/14/2008;$400
UNITED STATES FUND FOR UNICEF;10.05.2007;$100
UNITED STATES FUND FOR UNICEF;11/15/2007;$500
UNITED STATES FUND FOR UNICEF;12/19/2007;$300
UNITED STATES FUND FOR UNICEF;02.04.2008;$250
UNITED STATES FUND FOR UNICEF;05.01.2008;$200
UNITED STATES FUND FOR UNICEF;05.07.2008;$100
UNITED STATES FUND FOR UNICEF;5/14/2008;$50
UNITED STATES FUND FOR UNICEF;06.10.2008;$250
UNITED STATES HOLOCAUST MEMORIAL;05.07.2008;$350
UNITED STATES HOLOCAUST MEMORIAL;09.05.2008;$250
UNITED STATES NAVAL ACADEMY;06.10.2008;$2,000
UNITED STATES PAN ASIAN AMERIC                         ;11/30/2007;$10,000
UNITED STATES SKI AND SNOWBOARD;10/30/2007;$15,000
UNITED WAY OF CARLISLE & CUMBERLAND;05.01.2008;$9,607
UNITED WAY OF CARLISLE & CUMBERLAND;5/14/2008;$9,458
UNITED WAY OF THE NORTH SHORE;03.03.2008;$100
UNIVERSITY;10/23/2007;$1,700
UNIVERSITY;10/23/2007;$3,400
UNIVERSITY;10/24/2007;$250
UNIVERSITY;10/24/2007;$600
UNIVERSITY;11/15/2007;$250
UNIVERSITY AT ALBANY FOUNDATION;5/14/2008;$100
UNIVERSITY OF BRITISH COLUMBIA;3/17/2008;$100
UNIVERSITY OF CALIFORNIA AT BERKELEY;12/18/2007;$4,250
UNIVERSITY OF CALIFORNIA AT BERKELEY;05.01.2008;$1,000
UNIVERSITY OF CALIFORNIA DAVIS;10.12.2007;$100
UNIVERSITY OF CHICAGO;10.03.2007;$100
UNIVERSITY OF CHICAGO;10/23/2007;$4,000
UNIVERSITY OF CHICAGO;10/24/2007;$2,500
UNIVERSITY OF CHICAGO;10/25/2007;$1,000
UNIVERSITY OF CHICAGO;05.01.2008;$1,300
UNIVERSITY OF CHICAGO;05.12.2008;$50,000
UNIVERSITY OF CHICAGO;5/14/2008;$1,050
UNIVERSITY OF CHICAGO;06.10.2008;$1,500
UNIVERSITY OF CHICAGO;7/23/2008;$100
UNIVERSITY OF CHICAGO CANCER RESEARCH;1/22/2008;$250
UNIVERSITY OF CHICAGO CANCER RESEARCH;02.04.2008;$1,500
UNIVERSITY OF DELAWARE;12/19/2007;$750
UNIVERSITY OF DELAWARE;5/14/2008;$500
UNIVERSITY OF DENVER;1/15/2008;$500
UNIVERSITY OF GEORGIA FOUNDATION;05.07.2008;$2,000
UNIVERSITY OF HARTFORD;5/14/2008;$2,000
UNIVERSITY OF HAWAII FOUNDATION;10.05.2007;$100
UNIVERSITY OF IOWA FOUNDATION;05.01.2008;$500
UNIVERSITY OF MASSACHUSETTS FOUNDATION;1/15/2008;$1,000
UNIVERSITY OF MASSACHUSETTS FOUNDATION;5/20/2008;$2,000
